"Date","Loc","Daily_max_chl","Daily_min_chl","Daily_mean_chl","Daily_n_obs_chl","Daily_range_chl","month_name","year","day"
2017-05-17,"jlhaw",13.4352941176471,13.3378378378378,13.3865659777424,2,0.0974562798092204,"May",2017,17
2017-05-18,"jlhaw",14.1,-0.718181818181818,11.5977577243018,12,14.8181818181818,"May",2017,18
2017-05-19,"jlhaw",14.4470588235294,10.7,12.218487933635,13,3.74705882352941,"May",2017,19
2017-05-20,"jlhaw",11.7117647058824,-0.416,8.25437878787879,11,12.1277647058824,"May",2017,20
2017-05-21,"jlhaw",16.48,8.44117647058824,13.7279486154111,10,8.03882352941176,"May",2017,21
2017-05-22,"jlhaw",13.725,4.09047619047619,10.0264528969483,11,9.63452380952381,"May",2017,22
2017-05-23,"jlhaw",12.1588235294118,9.94117647058824,10.7366013071895,12,2.21764705882353,"May",2017,23
2017-05-24,"jlhaw",8.70555555555556,7.23529411764706,7.85145969498911,6,1.4702614379085,"May",2017,24
2017-05-26,"jlhaw",9.4,3.98032786885246,7.45574643609721,9,5.41967213114754,"May",2017,26
2017-05-27,"jlhaw",9.61875,6.8375,7.75502249384602,11,2.78125,"May",2017,27
2017-05-28,"jlhaw",9.58333333333333,6.88125,8.18004679144385,11,2.70208333333333,"May",2017,28
2017-05-29,"jlhaw",12.9166666666667,8.24117647058823,10.1919445682313,12,4.67549019607843,"May",2017,29
2017-05-30,"jlhaw",14.15625,8.71764705882353,11.0114031862745,12,5.43860294117647,"May",2017,30
2017-05-31,"jlhaw",21.5375,16.1875,18.7401915634675,10,5.35,"May",2017,31
2017-06-01,"jlhaw",22.8428571428571,15.9529411764706,18.0074492296919,8,6.88991596638655,"June",2017,1
2017-06-03,"jlhaw",12.2117647058824,10.58125,11.304224877451,8,1.63051470588235,"June",2017,3
2017-06-04,"jlhaw",12.175,8.62666666666667,10.1330105236539,12,3.54833333333333,"June",2017,4
2017-06-05,"jlhaw",13.7176470588235,9.8875,11.5196449220714,12,3.83014705882353,"June",2017,5
2017-06-06,"jlhaw",9.43529411764706,9.43529411764706,9.43529411764706,1,0,"June",2017,6
2017-06-07,"jlhaw",10.03125,7.35625,8.36670454545455,5,2.675,"June",2017,7
2017-06-12,"jlhaw",13,8.39411764705882,10.7241796817983,13,4.60588235294118,"June",2017,12
2017-06-13,"jlhaw",12.68125,9.03888888888889,10.9878472222222,4,3.64236111111111,"June",2017,13
2017-06-14,"jlhaw",10.46875,6.8375,8.31281013501892,12,3.63125,"June",2017,14
2017-06-15,"jlhaw",8.29375,6.32857142857143,7.23027769587367,12,1.96517857142857,"June",2017,15
2017-06-16,"jlhaw",10.84,6.5875,8.03366911764706,10,4.2525,"June",2017,16
2017-06-17,"jlhaw",10.26875,7.32941176470588,8.75933687363835,12,2.93933823529412,"June",2017,17
2017-06-18,"jlhaw",9.425,5.59444444444444,6.71180685237058,9,3.83055555555556,"June",2017,18
