"date","time","temperature_C","conductivity_mScm","salinity_psu","depth_m","pH","turbitiy_ntu","chlorophyl_mgL","dissolved_oxygen_mgL"
"07/27/17","09:00:03","29.75","0.18","0.08","0.035","7.19","14.1",21.8,"5.21"
"07/27/17","09:00:14","29.75","0.18","0.08","0.039","7.18","14.9",22,"5.21"
"07/27/17","09:00:13","29.75","0.18","0.08","0.042","7.18","14.9",22,"5.21"
"07/27/17","09:00:09","29.75","0.18","0.08","0.044","7.19","14.9",22.3,"5.21"
"07/27/17","09:00:11","29.75","0.18","0.08","0.045","7.19","14.9",22.1,"5.21"
"07/27/17","09:00:08","29.75","0.18","0.08","0.046","7.19","14.8",22.4,"5.21"
"07/27/17","09:00:10","29.75","0.18","0.08","0.046","7.19","14.9",22.2,"5.21"
"07/27/17","09:00:12","29.75","0.18","0.08","0.048","7.18","14.9",22,"5.21"
"07/27/17","09:00:07","29.75","0.18","0.08","0.050","7.19","14.8",22.4,"5.21"
"07/27/17","09:00:05","29.75","0.18","0.08","0.051","7.19","14.5",22.2,"5.21"
"07/27/17","09:00:01","29.75","0.18","0.08","0.053","7.19","13.6",21,"5.21"
"07/27/17","09:00:04","29.75","0.18","0.08","0.053","7.19","14.3",22,"5.21"
"07/27/17","09:00:15","29.75","0.18","0.08","0.053","7.18","14.9",22,"5.21"
"07/27/17","09:00:02","29.75","0.18","0.08","0.054","7.19","13.9",21.4,"5.21"
"07/27/17","09:00:06","29.75","0.18","0.08","0.056","7.19","14.7",22.4,"5.21"
"07/27/17","09:00:16","29.75","0.18","0.08","0.068","7.19","15.0",22.2,"5.21"
"07/27/17","09:00:17","29.75","0.18","0.08","0.078","7.19","15.0",22.3,"5.21"
"07/27/17","09:00:18","29.75","0.18","0.08","0.099","7.19","15.1",22.6,"5.21"
"07/27/17","09:30:14","29.81","0.18","0.08","0.046","7.24","14.5",20.6,"5.35"
"07/27/17","09:30:13","29.81","0.18","0.08","0.049","7.24","14.5",20.9,"5.35"
"07/27/17","09:30:16","29.81","0.18","0.08","0.050","7.24","14.3",20.4,"5.36"
"07/27/17","09:30:15","29.81","0.18","0.08","0.055","7.24","14.4",20.5,"5.36"
"07/27/17","09:30:02","29.81","0.18","0.08","0.056","7.24","13.9",21.2,"5.35"
"07/27/17","09:30:06","29.82","0.18","0.08","0.056","7.24","14.2",22.1,"5.35"
"07/27/17","09:30:07","29.81","0.18","0.08","0.056","7.24","14.3",22.1,"5.35"
"07/27/17","09:30:09","29.81","0.18","0.08","0.056","7.25","14.4",21.8,"5.35"
"07/27/17","09:30:08","29.81","0.18","0.08","0.057","7.25","14.4",22,"5.35"
"07/27/17","09:30:10","29.82","0.18","0.08","0.058","7.25","14.5",21.6,"5.35"
"07/27/17","09:30:05","29.81","0.18","0.08","0.065","7.24","14.1",22,"5.35"
"07/27/17","09:30:03","29.82","0.18","0.08","0.067","7.24","14.0",21.5,"5.35"
"07/27/17","09:30:04","29.82","0.18","0.08","0.070","7.24","14.1",21.8,"5.35"
"07/27/17","09:30:11","29.81","0.18","0.08","0.071","7.24","14.5",21.4,"5.35"
"07/27/17","09:30:12","29.82","0.18","0.08","0.071","7.24","14.5",21.1,"5.35"
"07/27/17","09:30:17","29.81","0.18","0.08","0.083","7.24","14.2",20.3,"5.36"
"07/27/17","10:00:12","30.00","0.18","0.08","0.064","7.35","13.7",25.2,"6.10"
"07/27/17","10:00:13","30.00","0.18","0.08","0.065","7.35","13.6",24.7,"6.10"
"07/27/17","10:00:11","30.00","0.18","0.08","0.068","7.35","13.7",25.7,"6.10"
"07/27/17","10:00:10","30.00","0.18","0.08","0.070","7.35","13.7",26,"6.10"
"07/27/17","10:00:00","29.99","0.18","0.08","0.072","7.33","12.0",20.8,"6.11"
"07/27/17","10:00:01","29.99","0.18","0.08","0.072","7.33","12.3",21.8,"6.11"
"07/27/17","10:00:02","29.99","0.18","0.08","0.072","7.33","12.5",22.8,"6.11"
"07/27/17","10:00:07","30.00","0.18","0.08","0.074","7.35","13.5",26.1,"6.10"
"07/27/17","10:00:06","30.00","0.18","0.08","0.075","7.34","13.3",25.8,"6.10"
"07/27/17","10:00:15","30.00","0.18","0.08","0.075","7.35","13.5",23.8,"6.10"
"07/27/17","10:00:08","30.00","0.18","0.08","0.077","7.35","13.6",26.2,"6.10"
"07/27/17","10:00:09","30.00","0.18","0.08","0.077","7.35","13.6",26.2,"6.10"
"07/27/17","10:00:14","30.00","0.18","0.08","0.079","7.35","13.6",24.2,"6.10"
"07/27/17","10:00:04","30.00","0.18","0.08","0.081","7.34","12.9",24.6,"6.11"
"07/27/17","10:00:03","29.99","0.18","0.08","0.082","7.33","12.7",23.8,"6.11"
"07/27/17","10:00:05","30.00","0.18","0.08","0.085","7.34","13.1",25.3,"6.10"
"07/27/17","10:00:16","30.00","0.18","0.08","0.093","7.34","13.4",23.3,"6.10"
"07/27/17","10:30:04","30.14","0.18","0.08","0.046","7.43","11.8",23.3,"6.41"
