"Datetime","avg_wind_speed","avg_wind_dir","loc"
2017-07-27 09:00:00,4.96,229,"jlnewhope"
2017-07-27 09:30:00,3.45,224,"jlnewhope"
2017-07-27 10:00:00,3.52,224,"jlnewhope"
2017-07-27 10:30:00,3.36,211,"jlnewhope"
2017-07-27 11:00:00,3.07,212,"jlnewhope"
2017-07-27 11:30:00,3.35,212,"jlnewhope"
2017-07-27 12:00:00,2.93,213,"jlnewhope"
2017-07-27 12:30:00,3.65,214,"jlnewhope"
2017-07-27 13:00:00,3.99,214,"jlnewhope"
2017-07-27 13:30:00,4.08,214,"jlnewhope"
2017-07-27 14:00:00,3.55,213,"jlnewhope"
2017-07-27 14:30:00,3.74,213,"jlnewhope"
2017-07-27 15:00:00,4.01,213,"jlnewhope"
2017-07-28 09:00:00,2.79,211,"jlnewhope"
2017-07-28 09:30:00,2.84,214,"jlnewhope"
2017-07-28 10:00:00,2.64,218,"jlnewhope"
2017-07-28 10:30:00,2.62,232,"jlnewhope"
2017-07-28 11:00:00,3.32,225,"jlnewhope"
2017-07-28 11:30:00,3.23,229,"jlnewhope"
2017-07-28 12:00:00,3.88,223,"jlnewhope"
2017-07-28 12:30:00,4.86,235,"jlnewhope"
2017-07-28 13:00:00,3.91,235,"jlnewhope"
2017-07-28 13:30:00,4.6,228,"jlnewhope"
2017-07-28 14:00:00,4.77,226,"jlnewhope"
2017-07-28 14:30:00,4.32,217,"jlnewhope"
2017-07-28 15:00:00,3.94,200,"jlnewhope"
2017-07-29 09:00:00,6.79,124,"jlnewhope"
2017-07-29 09:30:00,7.53,19,"jlnewhope"
2017-07-29 10:00:00,6.57,18,"jlnewhope"
2017-07-29 10:30:00,5.24,5,"jlnewhope"
2017-07-29 11:00:00,4.57,120,"jlnewhope"
2017-07-29 11:30:00,5.64,125,"jlnewhope"
2017-07-29 12:00:00,5.17,19,"jlnewhope"
2017-07-29 12:30:00,6.65,22,"jlnewhope"
2017-07-29 13:00:00,6.58,16,"jlnewhope"
2017-07-29 13:30:00,7.52,18,"jlnewhope"
2017-07-29 14:00:00,6.7,19,"jlnewhope"
2017-07-29 14:30:00,6.52,19,"jlnewhope"
2017-07-29 15:00:00,5.66,30,"jlnewhope"
2017-07-30 09:00:00,5.42,24,"jlnewhope"
2017-07-30 09:30:00,5.13,23,"jlnewhope"
2017-07-30 10:00:00,4.78,33,"jlnewhope"
2017-07-30 10:30:00,5,25,"jlnewhope"
2017-07-30 11:00:00,5.03,32,"jlnewhope"
2017-07-30 11:30:00,5.15,28,"jlnewhope"
2017-07-30 12:00:00,5.38,31,"jlnewhope"
2017-07-30 12:30:00,5.79,25,"jlnewhope"
2017-07-30 13:00:00,6.22,27,"jlnewhope"
2017-07-30 13:30:00,6.18,43,"jlnewhope"
2017-07-30 14:00:00,5.22,30,"jlnewhope"
2017-07-30 14:30:00,5.72,24,"jlnewhope"
2017-07-30 15:00:00,4.84,19,"jlnewhope"
2017-07-31 09:00:00,2.93,37,"jlnewhope"
2017-07-31 09:30:00,2.71,25,"jlnewhope"
2017-07-31 10:00:00,2.63,16,"jlnewhope"
2017-07-31 10:30:00,2.86,15,"jlnewhope"
2017-07-31 11:00:00,3.7,35,"jlnewhope"
2017-07-31 11:30:00,4.31,54,"jlnewhope"
2017-07-31 12:00:00,4.6,54,"jlnewhope"
2017-07-31 12:30:00,3.72,63,"jlnewhope"
2017-07-31 13:00:00,2.74,35,"jlnewhope"
2017-07-31 13:30:00,3.19,33,"jlnewhope"
2017-07-31 14:00:00,2.86,50,"jlnewhope"
2017-07-31 14:30:00,3.94,62,"jlnewhope"
2017-07-31 15:00:00,3.94,62,"jlnewhope"
2017-08-01 09:00:00,0.29,76,"jlnewhope"
2017-08-01 09:30:00,0.23,94,"jlnewhope"
2017-08-01 10:00:00,0.39,140,"jlnewhope"
2017-08-01 10:30:00,0.27,133,"jlnewhope"
2017-08-01 11:00:00,0.23,102,"jlnewhope"
2017-08-01 11:30:00,0.8,35,"jlnewhope"
2017-08-01 12:00:00,1.72,125,"jlnewhope"
2017-08-01 12:30:00,1.54,129,"jlnewhope"
2017-08-01 13:00:00,1.41,229,"jlnewhope"
2017-08-01 13:30:00,0.78,122,"jlnewhope"
2017-08-01 14:00:00,0.32,179,"jlnewhope"
2017-08-01 14:30:00,1.06,134,"jlnewhope"
2017-08-01 15:00:00,1.3,306,"jlnewhope"
2017-08-02 09:00:00,0.75,286,"jlnewhope"
2017-08-02 09:30:00,0.36,196,"jlnewhope"
2017-08-02 10:00:00,1.23,226,"jlnewhope"
2017-08-02 10:30:00,1.33,248,"jlnewhope"
2017-08-02 11:00:00,0.95,272,"jlnewhope"
2017-08-02 11:30:00,0.97,228,"jlnewhope"
2017-08-02 12:00:00,0.49,170,"jlnewhope"
2017-08-02 12:30:00,0.08,107,"jlnewhope"
2017-08-02 13:00:00,0.19,45,"jlnewhope"
2017-08-02 13:30:00,1.18,18,"jlnewhope"
2017-08-02 14:00:00,2.23,241,"jlnewhope"
2017-08-02 14:30:00,2.48,32,"jlnewhope"
2017-08-02 15:00:00,2.61,31,"jlnewhope"
2017-08-03 09:00:00,0.18,140,"jlnewhope"
2017-08-03 09:30:00,0.03,119,"jlnewhope"
2017-08-03 10:00:00,0.24,293,"jlnewhope"
2017-08-03 10:30:00,1.54,251,"jlnewhope"
2017-08-03 11:00:00,1.5,245,"jlnewhope"
2017-08-03 11:30:00,2.12,252,"jlnewhope"
2017-08-03 12:00:00,2.62,250,"jlnewhope"
2017-08-03 12:30:00,1.98,247,"jlnewhope"
2017-08-03 13:00:00,1.38,257,"jlnewhope"
2017-08-03 13:30:00,1.79,271,"jlnewhope"
2017-08-03 14:00:00,2.54,240,"jlnewhope"
2017-08-03 14:30:00,0.93,252,"jlnewhope"
2017-08-03 15:00:00,0.47,42,"jlnewhope"
2017-08-04 09:00:00,2.44,218,"jlnewhope"
2017-08-04 09:30:00,1.31,209,"jlnewhope"
2017-08-04 10:00:00,1.45,199,"jlnewhope"
2017-08-04 10:30:00,1.01,211,"jlnewhope"
2017-08-04 11:00:00,1.86,224,"jlnewhope"
2017-08-04 11:30:00,1.37,248,"jlnewhope"
2017-08-04 12:00:00,0.92,297,"jlnewhope"
2017-08-04 12:30:00,1.94,214,"jlnewhope"
2017-08-04 13:00:00,2.38,212,"jlnewhope"
2017-08-04 13:30:00,0.85,188,"jlnewhope"
2017-08-04 14:00:00,2.84,191,"jlnewhope"
2017-08-04 14:30:00,3.86,214,"jlnewhope"
2017-08-04 15:00:00,3.24,183,"jlnewhope"
2017-08-05 09:00:00,1.77,245,"jlnewhope"
2017-08-05 09:30:00,1.43,314,"jlnewhope"
2017-08-05 10:00:00,2.17,330,"jlnewhope"
2017-08-05 10:30:00,1.97,138,"jlnewhope"
2017-08-05 11:00:00,2.97,324,"jlnewhope"
2017-08-05 11:30:00,2.35,307,"jlnewhope"
2017-08-05 12:00:00,3.42,322,"jlnewhope"
2017-08-05 12:30:00,2.78,220,"jlnewhope"
2017-08-05 13:00:00,1.98,300,"jlnewhope"
2017-08-05 13:30:00,3.14,305,"jlnewhope"
2017-08-05 14:00:00,2.26,239,"jlnewhope"
2017-08-05 14:30:00,3.47,309,"jlnewhope"
2017-08-05 15:00:00,2.67,312,"jlnewhope"
2017-08-06 09:00:00,1.52,38,"jlnewhope"
2017-08-06 09:30:00,2.78,82,"jlnewhope"
2017-08-06 10:00:00,3.37,99,"jlnewhope"
2017-08-06 10:30:00,3.77,106,"jlnewhope"
2017-08-06 11:00:00,4.07,101,"jlnewhope"
2017-08-06 11:30:00,2.75,99,"jlnewhope"
2017-08-06 12:00:00,2.6,99,"jlnewhope"
2017-08-06 12:30:00,2.94,140,"jlnewhope"
2017-08-06 13:00:00,3.18,123,"jlnewhope"
2017-08-06 13:30:00,2.06,136,"jlnewhope"
2017-08-06 14:00:00,1.93,149,"jlnewhope"
2017-08-06 14:30:00,0.96,269,"jlnewhope"
2017-08-06 15:00:00,0.35,3,"jlnewhope"
2017-08-07 09:00:00,3.73,212,"jlnewhope"
2017-08-07 09:30:00,3.84,218,"jlnewhope"
2017-08-07 10:00:00,4.3,212,"jlnewhope"
2017-08-07 10:30:00,4.53,202,"jlnewhope"
2017-08-07 11:00:00,4.44,204,"jlnewhope"
2017-08-07 11:30:00,4.37,207,"jlnewhope"
2017-08-07 12:00:00,4.69,215,"jlnewhope"
2017-08-07 12:30:00,5.11,212,"jlnewhope"
2017-08-07 13:00:00,5.56,227,"jlnewhope"
2017-08-07 13:30:00,6.41,232,"jlnewhope"
2017-08-07 14:00:00,5.78,230,"jlnewhope"
2017-08-07 14:30:00,6.94,232,"jlnewhope"
2017-08-07 15:00:00,7.03,230,"jlnewhope"
2017-08-08 09:00:00,1.95,311,"jlnewhope"
2017-08-08 09:30:00,1.54,317,"jlnewhope"
2017-08-08 10:00:00,1.9,129,"jlnewhope"
2017-08-08 10:30:00,3.76,11,"jlnewhope"
2017-08-08 11:00:00,2.32,18,"jlnewhope"
2017-08-08 11:30:00,1.32,22,"jlnewhope"
2017-08-08 12:00:00,0.8,236,"jlnewhope"
2017-08-08 12:30:00,0.98,56,"jlnewhope"
2017-08-08 13:00:00,1.53,77,"jlnewhope"
2017-08-08 13:30:00,1.86,52,"jlnewhope"
2017-08-08 14:00:00,2.56,63,"jlnewhope"
2017-08-08 14:30:00,2.19,74,"jlnewhope"
2017-08-08 15:00:00,1.59,82,"jlnewhope"
2017-08-09 09:00:00,4.45,53,"jlnewhope"
2017-08-09 09:30:00,4.68,42,"jlnewhope"
2017-08-09 10:00:00,4.56,46,"jlnewhope"
2017-08-09 10:30:00,5.46,52,"jlnewhope"
2017-08-09 11:00:00,5.06,45,"jlnewhope"
2017-08-09 11:30:00,4.78,63,"jlnewhope"
2017-08-09 12:00:00,4.3,49,"jlnewhope"
2017-08-09 12:30:00,4.17,46,"jlnewhope"
2017-08-09 13:00:00,3.78,60,"jlnewhope"
2017-08-09 13:30:00,3.51,63,"jlnewhope"
2017-08-09 14:00:00,2.84,46,"jlnewhope"
2017-08-09 14:30:00,2.22,78,"jlnewhope"
2017-08-09 15:00:00,3.78,42,"jlnewhope"
2017-08-10 09:00:00,2.08,56,"jlnewhope"
2017-08-10 09:30:00,1.76,45,"jlnewhope"
2017-08-10 10:00:00,2.02,38,"jlnewhope"
2017-08-10 10:30:00,2.07,51,"jlnewhope"
2017-08-10 11:00:00,1.67,43,"jlnewhope"
2017-08-10 11:30:00,2.53,57,"jlnewhope"
