Date,Elev_in,Rainfall_in,Inflow_in,Outflow_in,Water_Supply_cfs,Lake_Temp_F
8/3/2023,NaN,0,NaN,NaN,NaN,NaN
8/4/2023,215.64,0.1,237,392,50,NaN
8/5/2023,215.57,0.03,11,441,48,NaN
8/6/2023,215.52,0,200,489,53,NaN
8/7/2023,215.46,0.18,124,483,51,NaN
8/8/2023,215.47,0.34,574,458,47,NaN
8/9/2023,215.44,0,305,458,52,NaN
8/10/2023,215.43,0,440,457,52,NaN
8/11/2023,215.4,0.3,302,457,50,NaN
8/12/2023,215.38,0,348,435,50,NaN
8/13/2023,215.34,0,204,422,55,NaN
8/14/2023,NaN,0,NaN,NaN,NaN,NaN
8/15/2023,NaN,NaN,NaN,NaN,NaN,NaN
8/16/2023,215.17,0.14,30,393,47,NaN
8/17/2023,215.11,0,33,387,55,NaN
8/18/2023,215.05,0,64,421,53,NaN
8/19/2023,215.05,0,475,421,54,NaN
8/20/2023,214.96,0,-129,421,53,NaN
8/21/2023,214.9,0,101,437,56,NaN
8/22/2023,214.87,0,317,455,58,NaN
8/23/2023,214.72,0,-469,455,56,NaN
8/24/2023,214.32,0,-210,454,55,NaN
8/25/2023,214.26,0,121,453,60,NaN
8/26/2023,214.23,0,313,453,56,NaN
8/27/2023,214.25,0,639,453,55,NaN
8/28/2023,214.33,2.38,933,361,49,NaN
8/29/2023,214.36,0.05,441,194,51,NaN
8/30/2023,214.42,0.21,638,194,52,NaN
8/31/2023,214.44,0.78,369,195,43,NaN
9/1/2023,214.43,0,182,194,53,NaN
9/2/2023,214.41,0,112,194,49,NaN
9/3/2023,214.39,0,114,194,51,NaN
9/4/2023,214.34,0,18,295,50,NaN
9/5/2023,214.27,0,-11,388,58,NaN
9/6/2023,214.19,0,-78,388,57,NaN
9/7/2023,214.12,0,-12,387,58,NaN
9/8/2023,214.05,0,-13,387,57,NaN
9/9/2023,214.23,0,1620,387,57,NaN
9/10/2023,214.38,1.47,1416,388,48,NaN
9/11/2023,214.44,0.04,829,388,49,NaN
9/12/2023,214.47,0,634,388,50,NaN
9/13/2023,214.44,0.07,245,388,53,NaN
9/14/2023,214.61,0,1434,271,52,NaN
9/15/2023,214.52,0,87,296,53,NaN
9/16/2023,214.46,0,47,388,51,NaN
9/17/2023,214.43,0,245,388,53,NaN
9/18/2023,214.38,0.19,113,388,52,NaN
9/19/2023,214.31,0,-18,388,51,NaN
9/20/2023,214.25,0,50,388,54,NaN
9/21/2023,214.2,0,112,387,52,NaN
9/22/2023,214.25,0,766,387,52,NaN
9/23/2023,214.24,0.42,365,387,44,NaN
9/24/2023,214.38,0.8,1352,388,49,NaN
9/25/2023,214.42,0,698,388,49,NaN
9/26/2023,214.41,0,376,388,53,NaN
9/27/2023,214.36,0,111,388,50,NaN
9/28/2023,214.29,0,-18,388,52,NaN
9/29/2023,214.23,0,16,356,52,NaN
9/30/2023,214.17,0,44,387,49,NaN
10/1/2023,214.1,0,-20,387,50,NaN
10/2/2023,214.03,0,-19,387,51,NaN
10/3/2023,213.97,NaN,28,361,53,NaN
10/4/2023,213.91,NaN,-5,321,53,NaN
10/5/2023,213.86,0,56,321,51,NaN
10/6/2023,213.77,0,-174,342,52,NaN
10/7/2023,213.69,0,-101,355,49,NaN
10/8/2023,213.62,0,-33,355,54,NaN
10/9/2023,213.54,0,-101,355,49,NaN
10/10/2023,213.47,0,-30,355,57,NaN
10/11/2023,213.41,0,29,354,54,NaN
10/12/2023,213.34,0.04,-37,354,51,NaN
10/13/2023,213.27,0.03,-36,354,52,NaN
10/14/2023,213.37,0.43,1032,354,47,NaN
10/15/2023,213.45,0.82,907,354,48,NaN
10/16/2023,213.48,0,591,354,47,NaN
10/17/2023,213.44,0,150,354,49,NaN
10/18/2023,213.39,0,90,354,52,NaN
10/19/2023,213.33,0,24,354,49,NaN
10/20/2023,213.29,0,150,354,49,NaN
10/21/2023,213.23,0,20,354,45,NaN
