STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/1/2019,3.3,W,220,W,220,W,9.8,W,13,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/2/2019,2.3,W,90,W,70,W,5.8,W,8.5,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/3/2019,1.2,W,230,W,230,W,4,W,5.4,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/4/2019,3.2,W,130,W,120,W,9.4,W,13,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/5/2019,4.3,W,250,W,240,W,9.4,W,13,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/6/2019,1.2,W,290,W,320,W,5.4,W,8.9,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/7/2019,3.1,W,80,W,110,W,5.8,W,8.9,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/8/2019,4.1,W,240,W,220,W,9.4,W,12.5,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/9/2019,4.2,W,290,W,310,W,8.1,W,13,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/10/2019,3.1,W,330,W,290,W,7.2,W,12.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/11/2019,0.9,W,30,W,50,W,4.5,W,6.7,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/12/2019,2.5,W,70,W,90,W,5.4,W,7.6,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/13/2019,3.3,W,40,W,30,W,6.7,W,8.5,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/14/2019,1.6,W,30,W,40,W,4.5,W,7.6,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/15/2019,0.6,W,330,W,310,W,3.6,W,5.4,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/16/2019,1.4,W,290,W,270,W,5.4,W,8.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/17/2019,2.1,W,230,W,90,W,5.8,W,8.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/18/2019,2.2,W,300,W,270,W,5.8,W,9.4,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/19/2019,3.6,W,190,W,190,W,7.6,W,10.7,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/20/2019,5.5,W,220,W,300,W,10.7,W,14.3,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/21/2019,2.6,W,270,W,290,W,6.7,W,10.3,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/22/2019,1.7,W,160,W,140,W,4,W,8.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/23/2019,3.5,W,180,W,170,W,9.4,W,13,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/24/2019,5.1,W,230,W,180,W,11.2,W,17.4,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/25/2019,1.6,W,270,W,240,W,6.3,W,9.8,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/26/2019,1.1,W,240,W,240,W,7.2,W,9.4,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/27/2019,1.3,W,210,W,250,W,4.5,W,8.5,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/28/2019,2.6,W,150,W,140,W,4.5,W,7.6,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/29/2019,4,W,250,W,260,W,10.7,W,13.9,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/30/2019,3.7,W,230,W,240,W,11.2,W,14.3,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",1/31/2019,2.2,W,40,W,20,W,5.8,W,8.5,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/1/2019,2.4,W,230,W,240,W,8.1,W,10.3,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/2/2019,1.7,W,210,W,190,W,4.5,W,6.3,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/3/2019,0,W,130,W,140,W,2.7,W,4.9,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/4/2019,1.2,W,50,W,50,W,6.3,W,8.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/5/2019,0.7,W,340,W,350,W,5.4,W,5.8,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/6/2019,3.2,W,200,W,200,W,8.9,W,12.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/7/2019,5.7,W,230,W,230,W,10.3,W,12.5,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/8/2019,4.1,W,300,W,330,W,7.6,W,12.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/9/2019,2.7,W,50,W,10,W,6.3,W,10.7,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/10/2019,1.7,W,90,W,80,W,5.8,W,7.2,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/11/2019,1.6,W,50,W,110,W,4.5,W,6.7,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/12/2019,2.4,W,310,W,300,W,7.6,W,12.1,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/13/2019,4.5,W,280,W,270,W,9.4,W,14.8,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/14/2019,2.1,W,180,W,190,W,6.7,W,9.4,W
USW00013722,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2/15/2019,4.7,W,230,W,230,W,10.3,W,13.4,W
