
Profile Time: 00:00:00
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 00:00:00 26.60   0.10   0.05   0.040  8.96     9.5  17.0  12.04
06/01/17 00:00:03 26.59   0.10   0.05   0.040  8.96    10.3  19.3  12.05
06/01/17 00:00:04 26.60   0.10   0.05   0.040  8.96    10.6  16.1  12.03
06/01/17 00:00:01 26.60   0.10   0.05   0.041  8.96     9.9  18.2  12.04
06/01/17 00:00:02 26.59   0.10   0.05   0.041  8.96    10.0  21.9  12.05

Profile Time: 05:00:02
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 05:00:05 26.03   0.10   0.05   0.057  8.64     9.5  16.9  10.99
06/01/17 05:00:07 26.03   0.10   0.05   0.060  8.65     9.6  16.9  10.98
06/01/17 05:00:16 26.01   0.10   0.05   0.060  8.67     9.9  17.6  11.01
06/01/17 05:00:10 26.03   0.10   0.05   0.061  8.66     9.7  17.1  10.98
06/01/17 05:00:14 26.00   0.10   0.05   0.061  8.67     9.9  17.5  11.00
06/01/17 05:00:09 26.03   0.10   0.05   0.062  8.65     9.7  17.0  10.98
06/01/17 05:00:12 26.01   0.10   0.05   0.062  8.66     9.8  17.3  10.98
06/01/17 05:00:04 26.03   0.10   0.05   0.063  8.64     9.5  16.9  11.00
06/01/17 05:00:06 26.03   0.10   0.05   0.063  8.65     9.6  16.9  11.00
06/01/17 05:00:08 26.03   0.10   0.05   0.063  8.65     9.7  16.9  10.98
06/01/17 05:00:11 26.02   0.10   0.05   0.063  8.66     9.8  17.2  10.98
06/01/17 05:00:15 26.00   0.10   0.05   0.063  8.67     9.9  17.5  11.00
06/01/17 05:00:03 26.03   0.10   0.05   0.064  8.63     9.5  17.0  10.99
06/01/17 05:00:13 26.01   0.10   0.05   0.064  8.66     9.9  17.4  10.99
06/01/17 05:00:17 26.03   0.10   0.05   0.068  8.67     9.9  17.6  11.00
06/01/17 05:00:18 26.05   0.10   0.05   0.087  8.67     9.9  17.5  11.01
06/01/17 05:00:19 26.07   0.10   0.05   0.102  8.67     9.8  17.4  10.99
06/01/17 05:00:20 26.09   0.10   0.05   0.121  8.67     9.8  17.3  10.98
06/01/17 05:00:21 26.10   0.10   0.05   0.135  8.68     9.8  17.2  10.97
06/01/17 05:00:22 26.10   0.10   0.05   0.155  8.68     9.7  17.1  10.98
06/01/17 05:00:23 26.11   0.10   0.05   0.171  8.68     9.7  16.9  10.96
06/01/17 05:00:24 26.11   0.10   0.05   0.189  8.69     9.7  16.8  10.94
06/01/17 05:00:25 26.11   0.10   0.05   0.203  8.69     9.6  16.7  10.95
06/01/17 05:00:26 26.10   0.10   0.05   0.222  8.69     9.6  16.6  10.94
06/01/17 05:00:27 26.08   0.10   0.05   0.238  8.69     9.6  16.5  10.93
06/01/17 05:00:28 26.08   0.10   0.05   0.253  8.70     9.7  16.4  10.93
06/01/17 05:00:29 26.08   0.10   0.05   0.272  8.70     9.7  16.4  10.93
06/01/17 05:00:30 26.08   0.10   0.05   0.287  8.71     9.7  16.4  10.92
06/01/17 05:00:31 26.09   0.10   0.05   0.301  8.71     9.7  16.4  10.92
06/01/17 05:00:32 26.09   0.10   0.05   0.320  8.71     9.8  16.5  10.92
06/01/17 05:00:33 26.09   0.10   0.05   0.342  8.71     9.8  16.5  10.92
06/01/17 05:00:34 26.08   0.10   0.05   0.356  8.71     9.9  16.6  10.92
06/01/17 05:00:35 26.08   0.10   0.05   0.371  8.71     9.9  16.6  10.92
06/01/17 05:00:36 26.08   0.10   0.05   0.392  8.71     9.9  16.7  10.91
06/01/17 05:00:37 26.08   0.10   0.05   0.413  8.72    10.0  16.8  10.91
06/01/17 05:00:38 26.09   0.10   0.05   0.428  8.72    10.0  16.8  10.91
06/01/17 05:00:39 26.10   0.10   0.05   0.452  8.72    10.1  16.9  10.91
06/01/17 05:00:40 26.11   0.10   0.05   0.473  8.72    10.1  16.9  10.90
06/01/17 05:00:41 26.11   0.10   0.05   0.490  8.73    10.1  16.9  10.89
06/01/17 05:00:42 26.12   0.10   0.05   0.506  8.73    10.2  16.9  10.89
06/01/17 05:00:43 26.12   0.10   0.05   0.527  8.73    10.2  16.9  10.88
06/01/17 05:00:44 26.12   0.10   0.05   0.548  8.74    10.2  16.9  10.88
06/01/17 05:00:45 26.12   0.10   0.05   0.566  8.74    10.3  16.9  10.88
06/01/17 05:00:46 26.12   0.10   0.05   0.580  8.74    10.3  16.9  10.88
