
Profile Time: 00:00:00
Profile Date: 10/04/2018
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck, VisualCheck
Data Status: , PostCal
10/04/18 00:00:02 25.95   0.11   0.05   0.064  7.67     3.5  26.4    NaN
10/04/18 00:00:05 25.96   0.11   0.05   0.065  7.67     3.6  28.5    NaN
10/04/18 00:00:07 25.96   0.11   0.05   0.065  7.67     3.6  29.6    NaN
10/04/18 00:00:10 25.97   0.11   0.05   0.065  7.68     3.6  30.5    NaN
10/04/18 00:00:14 25.98   0.11   0.05   0.065  7.68     3.5  30.3    NaN
10/04/18 00:00:16 26.00   0.11   0.05   0.065  7.67     3.5  29.8    NaN
10/04/18 00:00:04 25.96   0.11   0.05   0.066  7.66     3.5  27.8    NaN
10/04/18 00:00:06 25.97   0.11   0.05   0.066  7.66     3.6  29.1    NaN
10/04/18 00:00:09 25.96   0.11   0.05   0.066  7.67     3.6  30.3    NaN
10/04/18 00:00:11 25.97   0.11   0.05   0.066  7.67     3.6  30.6    NaN
10/04/18 00:00:12 25.98   0.11   0.05   0.066  7.67     3.6  30.6    NaN
10/04/18 00:00:03 25.95   0.11   0.05   0.067  7.67     3.5  27.1    NaN
10/04/18 00:00:08 25.96   0.11   0.05   0.067  7.67     3.6  30.0    NaN
10/04/18 00:00:13 25.98   0.11   0.05   0.067  7.67     3.5  30.5    NaN
10/04/18 00:00:15 25.99   0.11   0.05   0.067  7.67     3.5  30.1    NaN
10/04/18 00:00:17 26.02   0.11   0.05   0.068  7.68     3.5  29.5    NaN
10/04/18 00:00:18 26.03   0.11   0.05   0.088  7.67     3.4  29.3    NaN
10/04/18 00:00:19 26.04   0.11   0.05   0.099  7.68     3.4  29.0    NaN
10/04/18 00:00:20 26.04   0.11   0.05   0.116  7.68     3.5  28.8    NaN
10/04/18 00:00:21 26.03   0.11   0.05   0.135  7.67     3.5  28.6    NaN
10/04/18 00:00:22 26.03   0.11   0.05   0.149  7.68     3.5  28.5    NaN
10/04/18 00:00:23 26.03   0.11   0.05   0.165  7.68     3.5  28.5    NaN
10/04/18 00:00:24 26.03   0.11   0.05   0.181  7.69     3.5  28.6    NaN
10/04/18 00:00:25 26.03   0.11   0.05   0.194  7.69     3.6  28.7    NaN
10/04/18 00:00:26 26.04   0.11   0.05   0.211  7.69     3.6  28.9    NaN
10/04/18 00:00:27 26.04   0.11   0.05   0.227  7.69     3.6  29.1    NaN
10/04/18 00:00:28 26.04   0.11   0.05   0.241  7.69     3.6  29.4    NaN
10/04/18 00:00:29 26.04   0.11   0.05   0.255  7.69     3.7  29.7    NaN
10/04/18 00:00:30 26.04   0.11   0.05   0.272  7.69     3.7  30.0    NaN
10/04/18 00:00:31 26.04   0.11   0.05   0.288  7.69     3.7  30.3    NaN
10/04/18 00:00:32 26.04   0.11   0.05   0.304  7.69     3.7  30.6    NaN
10/04/18 00:00:33 26.05   0.11   0.05   0.318  7.69     3.6  30.9    NaN
10/04/18 00:00:34 26.05   0.11   0.05   0.333  7.70     3.6  31.1    NaN
