
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:12:23 10.04   0.08   0.04   0.050  7.66    18.1   6.9   9.61
12/01/18 01:12:24 10.04   0.08   0.04   0.050  7.66    18.2   6.7   9.60
12/01/18 01:12:25 10.04   0.08   0.04   0.050  7.66    18.2   6.4   9.60
12/01/18 01:12:27 10.03   0.08   0.04   0.050  7.66    18.3   6.0   9.59
12/01/18 01:12:28 10.03   0.08   0.04   0.050  7.66    18.3   5.9   9.58
12/01/18 01:12:29 10.03   0.08   0.04   0.050  7.66    18.4   5.8   9.57
12/01/18 01:12:31 10.03   0.08   0.04   0.050  7.66    18.4   5.7   9.56
12/01/18 01:12:32 10.03   0.08   0.04   0.050  7.65    18.5   5.7   9.55
12/01/18 01:12:33 10.03   0.08   0.04   0.050  7.65    18.5   5.7   9.55
12/01/18 01:12:34 10.03   0.08   0.04   0.050  7.65    18.6   5.8   9.55
12/01/18 01:12:21 10.03   0.08   0.04   0.051  7.66    18.0   7.5   9.62
12/01/18 01:12:22 10.03   0.08   0.04   0.051  7.66    18.0   7.2   9.62
12/01/18 01:12:26 10.04   0.08   0.04   0.051  7.66    18.2   6.2   9.59
12/01/18 01:12:30 10.03   0.08   0.04   0.051  7.66    18.4   5.7   9.57
12/01/18 01:12:20 10.03   0.08   0.04   0.052  7.66    17.9   7.8   9.63
12/01/18 01:12:35 10.04   0.08   0.04   0.062  7.65    18.7   5.8   9.54
12/01/18 01:12:36 10.04   0.08   0.04   0.077  7.65    18.8   5.9   9.54
12/01/18 01:12:37 10.04   0.08   0.04   0.095  7.65    18.8   6.0   9.53
12/01/18 01:12:38 10.03   0.08   0.04   0.112  7.65    18.9   6.1   9.53
12/01/18 01:12:39 10.03   0.08   0.04   0.127  7.65    19.0   6.2   9.52
12/01/18 01:12:40 10.03   0.08   0.04   0.143  7.65    19.0   6.2   9.52
12/01/18 01:12:41 10.03   0.08   0.04   0.159  7.65    19.1   6.3   9.51
12/01/18 01:12:42 10.03   0.08   0.04   0.172  7.65    19.1   6.4   9.51
12/01/18 01:12:43 10.03   0.08   0.04   0.186  7.65    19.2   6.5   9.50
12/01/18 01:12:44 10.03   0.08   0.04   0.203  7.65    19.2   6.6   9.50
12/01/18 01:12:45 10.03   0.08   0.04   0.219  7.65    19.2   6.7   9.49
12/01/18 01:12:46 10.03   0.08   0.04   0.234  7.65    19.2   6.7   9.49
12/01/18 01:12:47 10.03   0.08   0.04   0.245  7.65    19.2   6.8   9.49
12/01/18 01:12:48 10.03   0.08   0.04   0.260  7.65    19.2   6.9   9.48
12/01/18 01:12:49 10.03   0.08   0.04   0.279  7.64    19.2   7.0   9.47
12/01/18 01:12:50 10.03   0.08   0.04   0.293  7.64    19.2   7.0   9.46
12/01/18 01:12:51 10.02   0.08   0.04   0.302  7.64    19.2   7.0   9.45
12/01/18 01:12:52 10.02   0.08   0.04   0.319  7.64    19.2   7.0   9.45
12/01/18 01:12:53 10.01   0.08   0.04   0.342  7.64    19.3   7.0   9.44
12/01/18 01:12:54 10.01   0.08   0.04   0.358  7.64    19.3   6.9   9.43
12/01/18 01:12:55 10.01   0.08   0.04   0.378  7.64    19.3   6.9   9.43
12/01/18 01:12:56 10.01   0.08   0.04   0.394  7.64    19.4   6.9   9.42
12/01/18 01:12:57 10.01   0.08   0.04   0.414  7.64    19.4   6.8   9.41
12/01/18 01:12:58 10.00   0.08   0.04   0.429  7.64    19.5   6.8   9.41
12/01/18 01:12:59 10.00   0.08   0.04   0.443  7.64    19.6   6.9   9.41
12/01/18 01:13:00 10.00   0.08   0.04   0.462  7.64    19.6   7.0   9.41
12/01/18 01:13:01 10.00   0.08   0.04   0.480  7.63    19.7   7.1   9.40
12/01/18 01:13:02 10.01   0.08   0.04   0.499  7.63    19.7   7.2   9.40
12/01/18 01:13:03 10.00   0.08   0.04   0.518  7.63    19.8   7.4   9.40
12/01/18 01:13:04 10.00   0.08   0.04   0.538  7.63    19.8   7.5   9.40
12/01/18 01:13:05 10.00   0.08   0.04   0.558  7.63    19.8   7.7   9.40
12/01/18 01:13:06  9.99   0.08   0.04   0.577  7.63    19.8   7.8   9.39
12/01/18 01:13:07  9.99   0.08   0.04   0.598  7.63    19.8   7.9   9.39
12/01/18 01:13:08  9.98   0.08   0.04   0.616  7.63    19.7   7.9   9.39
12/01/18 01:13:09  9.98   0.08   0.04   0.635  7.63    19.7   7.9   9.38
12/01/18 01:13:10  9.97   0.08   0.04   0.652  7.63    19.6   7.8   9.38
