
Profile Time: 00:14:58
Profile Date: 12/06/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky      
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/06/18 00:15:04 10.16   0.12   0.06   0.068  7.80    17.5   4.3  10.73
12/06/18 00:15:08 10.20   0.12   0.06   0.068  7.79    17.8   5.7  10.69
12/06/18 00:15:09 10.23   0.12   0.06   0.068  7.79    17.9   5.9  10.68
12/06/18 00:15:12 10.22   0.12   0.06   0.068  7.78    18.1   6.0  10.65
12/06/18 00:15:13 10.19   0.12   0.06   0.068  7.78    18.2   5.9  10.65
12/06/18 00:15:00 10.09   0.12   0.06   0.069  7.79    17.4   2.1  10.76
12/06/18 00:15:01 10.13   0.12   0.06   0.069  7.79    17.4   2.7  10.74
12/06/18 00:15:02 10.15   0.12   0.06   0.069  7.79    17.5   3.3  10.73
12/06/18 00:15:03 10.16   0.12   0.06   0.069  7.79    17.5   3.8  10.73
12/06/18 00:15:05 10.17   0.12   0.06   0.069  7.79    17.6   4.8  10.72
12/06/18 00:15:06 10.17   0.12   0.06   0.069  7.80    17.7   5.2  10.71
12/06/18 00:15:07 10.18   0.12   0.06   0.069  7.79    17.7   5.5  10.71
12/06/18 00:15:10 10.24   0.12   0.06   0.069  7.79    18.0   6.0  10.66
12/06/18 00:15:11 10.23   0.12   0.06   0.069  7.78    18.0   6.0  10.66
12/06/18 00:15:14 10.18   0.12   0.06   0.069  7.78    18.2   5.8  10.64
12/06/18 00:15:15 10.17   0.12   0.06   0.087  7.78    18.2   5.6  10.64
12/06/18 00:15:16 10.16   0.12   0.06   0.100  7.78    18.2   5.4  10.65
12/06/18 00:15:17 10.17   0.12   0.06   0.116  7.78    18.2   5.2  10.65
12/06/18 00:15:18 10.17   0.12   0.06   0.134  7.79    18.2   4.9  10.64
12/06/18 00:15:19 10.19   0.12   0.06   0.148  7.79    18.2   4.7  10.63
12/06/18 00:15:20 10.22   0.12   0.06   0.163  7.78    18.1   4.5  10.62
12/06/18 00:15:21 10.23   0.12   0.06   0.177  7.78    18.1   4.2  10.61
12/06/18 00:15:22 10.13   0.12   0.06   0.193  7.78    18.0   4.0  10.63
12/06/18 00:15:23 10.02   0.12   0.06   0.208  7.78    18.0   3.9  10.67
12/06/18 00:15:24  9.91   0.12   0.06   0.222  7.78    17.9   3.7  10.70
12/06/18 00:15:25  9.85   0.12   0.06   0.237  7.78    17.8   3.6  10.72
12/06/18 00:15:26  9.81   0.12   0.06   0.252  7.78    17.8   3.6  10.73
12/06/18 00:15:27  9.81   0.12   0.06   0.267  7.78    17.7   3.6  10.73
12/06/18 00:15:28  9.85   0.12   0.06   0.282  7.79    17.7   3.6  10.70
12/06/18 00:15:29  9.92   0.12   0.06   0.298  7.78    17.7   3.7  10.67
12/06/18 00:15:30  9.99   0.12   0.06   0.312  7.78    17.6   3.8  10.65
12/06/18 00:15:31 10.05   0.12   0.06   0.326  7.78    17.6   3.9  10.63
12/06/18 00:15:32 10.09   0.12   0.06   0.345  7.78    17.6   4.1  10.61
12/06/18 00:15:33 10.12   0.12   0.06   0.367  7.78    17.5   4.3  10.59
12/06/18 00:15:34 10.16   0.12   0.06   0.385  7.78    17.5   4.4  10.59
12/06/18 00:15:35 10.18   0.12   0.06   0.397  7.78    17.5   4.6  10.59
12/06/18 00:15:36 10.17   0.12   0.06   0.411  7.78    17.4   4.8  10.57
12/06/18 00:15:37 10.11   0.12   0.06   0.430  7.79    17.4   5.0  10.58
12/06/18 00:15:38 10.08   0.12   0.06   0.449  7.79    17.4   5.1  10.58
12/06/18 00:15:39 10.08   0.12   0.06   0.466  7.79    17.4   5.2  10.57
12/06/18 00:15:40 10.08   0.12   0.06   0.488  7.79    17.5   5.3  10.56
12/06/18 00:15:41 10.08   0.12   0.06   0.506  7.79    17.5   5.4  10.54
12/06/18 00:15:42 10.07   0.12   0.06   0.523  7.79    17.5   5.5  10.54
12/06/18 00:15:43 10.09   0.12   0.06   0.542  7.79    17.6   5.5  10.52
12/06/18 00:15:44 10.12   0.12   0.06   0.563  7.79    17.6   5.5  10.50
12/06/18 00:15:45 10.16   0.12   0.06   0.582  7.79    17.6   5.5  10.48
12/06/18 00:15:46 10.19   0.12   0.06   0.602  7.79    17.7   5.5  10.46
12/06/18 00:15:47 10.25   0.12   0.06   0.621  7.79    17.7   5.4  10.43
12/06/18 00:15:48 10.29   0.12   0.06   0.641  7.79    17.7   5.3  10.40
12/06/18 00:15:49 10.32   0.12   0.06   0.659  7.80    17.6   5.2  10.38
12/06/18 00:15:50 10.34   0.12   0.06   0.677  7.79    17.6   5.1  10.37
