
Profile Time: 09:38:53
Profile Date: 11/27/2017
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
11/27/17 09:38:53 10.67   0.25   0.12   0.048  8.49    13.6  39.5  11.76
11/27/17 09:38:55 10.68   0.25   0.12   0.048  8.49    13.5  40.1  11.78
11/27/17 09:38:57 10.67   0.25   0.12   0.048  8.49    13.5  40.6  11.79
11/27/17 09:39:00 10.66   0.25   0.12   0.048  8.49    13.5  41.2  11.79
11/27/17 09:39:01 10.66   0.25   0.12   0.048  8.49    13.5  41.4  11.78
11/27/17 09:39:02 10.66   0.25   0.12   0.048  8.49    13.5  41.6  11.78
11/27/17 09:39:03 10.67   0.25   0.12   0.048  8.49    13.6  41.8  11.79
11/27/17 09:38:54 10.68   0.25   0.12   0.049  8.49    13.6  39.8  11.75
11/27/17 09:38:56 10.67   0.25   0.12   0.049  8.49    13.5  40.4  11.78
11/27/17 09:38:58 10.67   0.25   0.12   0.049  8.49    13.5  40.9  11.78
11/27/17 09:38:59 10.66   0.25   0.12   0.049  8.49    13.5  41.1  11.77
11/27/17 09:39:04 10.67   0.25   0.12   0.049  8.49    13.6  42.0  11.79
11/27/17 09:39:05 10.67   0.25   0.12   0.049  8.50    13.7  42.2  11.81
11/27/17 09:39:06 10.67   0.25   0.12   0.049  8.49    13.8  42.5  11.82
11/27/17 09:39:07 10.67   0.25   0.12   0.052  8.50    13.9  42.8  11.82
11/27/17 09:39:08 10.67   0.25   0.12   0.069  8.50    13.9  43.1  11.85
11/27/17 09:39:09 10.67   0.25   0.12   0.085  8.50    14.0  43.4  11.85
11/27/17 09:39:10 10.66   0.25   0.12   0.103  8.50    14.1  43.8  11.85
11/27/17 09:39:11 10.66   0.25   0.12   0.121  8.50    14.2  44.2  11.85
11/27/17 09:39:12 10.67   0.25   0.12   0.134  8.50    14.2  44.5  11.85
11/27/17 09:39:13 10.67   0.25   0.12   0.154  8.50    14.3  44.8  11.84
11/27/17 09:39:14 10.66   0.25   0.12   0.172  8.50    14.4  45.1  11.82
11/27/17 09:39:15 10.64   0.25   0.12   0.189  8.50    14.4  45.3  11.84
11/27/17 09:39:16 10.62   0.25   0.12   0.201  8.50    14.4  45.5  11.82
11/27/17 09:39:17 10.61   0.25   0.12   0.216  8.50    14.4  45.6  11.80
11/27/17 09:39:18 10.60   0.25   0.12   0.233  8.50    14.4  45.6  11.77
11/27/17 09:39:19 10.59   0.25   0.12   0.246  8.50    14.4  45.6  11.76
11/27/17 09:39:20 10.59   0.25   0.12   0.261  8.50    14.4  45.6  11.78
11/27/17 09:39:21 10.60   0.25   0.12   0.278  8.50    14.3  45.5  11.77
11/27/17 09:39:22 10.60   0.25   0.12   0.297  8.51    14.3  45.5  11.77
11/27/17 09:39:23 10.60   0.25   0.12   0.315  8.51    14.2  45.4  11.77
11/27/17 09:39:24 10.60   0.25   0.12   0.328  8.51    14.1  45.3  11.79
11/27/17 09:39:25 10.60   0.25   0.12   0.349  8.51    14.0  45.2  11.81
11/27/17 09:39:26 10.60   0.25   0.12   0.369  8.51    13.9  45.2  11.83
11/27/17 09:39:27 10.59   0.25   0.12   0.384  8.51    13.9  45.1  11.89
11/27/17 09:39:28 10.59   0.25   0.12   0.404  8.51    13.8  45.0  11.91
11/27/17 09:39:29 10.59   0.25   0.12   0.425  8.51    13.7  45.0  11.92
11/27/17 09:39:30 10.58   0.25   0.12   0.444  8.51    13.7  44.9  11.90
11/27/17 09:39:31 10.58   0.25   0.12   0.456  8.50    13.6  44.9  11.95
11/27/17 09:39:32 10.57   0.25   0.12   0.475  8.50    13.6  44.8  11.92
11/27/17 09:39:33 10.56   0.25   0.12   0.499  8.50    13.6  44.7  11.89
11/27/17 09:39:34 10.57   0.25   0.12   0.519  8.50    13.7  44.5  11.87
11/27/17 09:39:35 10.57   0.25   0.12   0.537  8.51    13.8  44.4  11.86
11/27/17 09:39:36 10.58   0.25   0.12   0.560  8.51    13.9  44.2  11.85
11/27/17 09:39:37 10.57   0.25   0.12   0.577  8.51    14.0  44.0  11.84
11/27/17 09:39:38 10.57   0.25   0.12   0.597  8.51    14.1  43.8  11.83
11/27/17 09:39:39 10.56   0.25   0.12   0.618  8.51    14.3  43.6  11.88
11/27/17 09:39:40 10.56   0.25   0.12   0.638  8.51    14.4  43.4  11.93
11/27/17 09:39:41 10.56   0.25   0.12   0.658  8.51    14.6  43.2  11.91
11/27/17 09:39:42 10.56   0.25   0.12   0.678  8.51    14.7  43.0  11.90
11/27/17 09:39:43 10.55   0.25   0.12   0.698  8.51    14.9  42.8  11.88
11/27/17 09:39:44 10.55   0.25   0.12   0.717  8.51    15.0  42.7  11.86
11/27/17 09:39:45 10.55   0.25   0.12   0.738  8.51    15.1  42.5  11.87
11/27/17 09:39:46 10.55   0.25   0.12   0.761  8.51    15.1  42.4  11.86
11/27/17 09:39:47 10.55   0.25   0.12   0.780  8.51    15.2  42.3  11.83
11/27/17 09:39:48 10.55   0.25   0.12   0.799  8.52    15.2  42.2  11.82
11/27/17 09:39:49 10.55   0.25   0.12   0.820  8.51    15.1  42.2  11.81
11/27/17 09:39:50 10.55   0.25   0.12   0.840  8.52    15.1  42.1  11.81
11/27/17 09:39:51 10.54   0.25   0.12   0.861  8.52    15.0  42.1  11.84
11/27/17 09:39:52 10.55   0.25   0.12   0.881  8.51    14.9  42.0  11.85
11/27/17 09:39:53 10.55   0.25   0.12   0.901  8.51    14.8  42.0  11.89
11/27/17 09:39:54 10.54   0.25   0.12   0.922  8.51    14.7  41.9  11.90
11/27/17 09:39:55 10.54   0.25   0.12   0.941  8.52    14.6  41.8  11.91
11/27/17 09:39:56 10.54   0.25   0.12   0.960  8.52    14.5  41.7  11.97
11/27/17 09:39:57 10.54   0.25   0.12   0.981  8.52    14.4  41.6  12.00
11/27/17 09:39:58 10.54   0.25   0.12   1.000  8.52    14.4  41.5  12.03
11/27/17 09:39:59 10.54   0.25   0.12   1.020  8.52    14.4  41.4  12.05
11/27/17 09:40:00 10.53   0.25   0.12   1.040  8.52    14.4  41.3  12.06
11/27/17 09:40:01 10.53   0.25   0.12   1.060  8.52    14.5  41.1  12.02
11/27/17 09:40:02 10.53   0.25   0.12   1.079  8.51    14.6  41.0  12.03
11/27/17 09:40:03 10.52   0.25   0.12   1.097  8.51    14.7  41.0  12.01
11/27/17 09:40:04 10.51   0.25   0.12   1.118  8.51    14.8  41.0  12.01
11/27/17 09:40:05 10.51   0.25   0.12   1.140  8.51    14.9  41.0  11.95
11/27/17 09:40:06 10.50   0.25   0.12   1.159  8.51    15.0  41.2  11.92
11/27/17 09:40:07 10.50   0.25   0.12   1.178  8.51    15.1  41.3  11.90
11/27/17 09:40:08 10.50   0.25   0.12   1.198  8.51    15.2  41.6  11.86
11/27/17 09:40:09 10.50   0.25   0.12   1.219  8.51    15.3  41.8  11.83
11/27/17 09:40:10 10.49   0.25   0.12   1.240  8.51    15.3  42.1  11.81
11/27/17 09:40:11 10.49   0.25   0.12   1.260  8.52    15.4  42.5  11.80
11/27/17 09:40:12 10.49   0.25   0.12   1.278  8.52    15.4  42.8  11.80
11/27/17 09:40:13 10.49   0.25   0.12   1.298  8.51    15.4  43.1  11.78
11/27/17 09:40:14 10.48   0.25   0.12   1.318  8.51    15.4  43.3  11.79
11/27/17 09:40:15 10.48   0.25   0.12   1.338  8.51    15.4  43.5  11.79
11/27/17 09:40:16 10.48   0.25   0.12   1.359  8.51    15.4  43.6  11.78
11/27/17 09:40:17 10.48   0.25   0.12   1.379  8.51    15.4  43.6  11.78
11/27/17 09:40:18 10.47   0.25   0.12   1.398  8.51    15.3  43.5  11.79
11/27/17 09:40:19 10.47   0.25   0.12   1.419  8.51    15.3  43.3  11.78
11/27/17 09:40:20 10.47   0.25   0.12   1.438  8.51    15.2  43.1  11.79
11/27/17 09:40:21 10.47   0.25   0.12   1.455  8.51    15.2  42.8  11.78
11/27/17 09:40:22 10.47   0.25   0.12   1.476  8.51    15.1  42.4  11.79
11/27/17 09:40:23 10.46   0.25   0.12   1.496  8.51    15.1  42.1  11.79
11/27/17 09:40:24 10.46   0.25   0.12   1.515  8.51    15.0  41.7  11.79
11/27/17 09:40:25 10.46   0.25   0.12   1.534  8.51    14.9  41.4  11.76
11/27/17 09:40:26 10.46   0.25   0.12   1.556  8.51    14.9  41.2  11.75
11/27/17 09:40:27 10.46   0.25   0.12   1.576  8.51    14.8  41.0  11.76
11/27/17 09:40:28 10.43   0.25   0.12   1.595  8.50    14.7  40.8  11.76
11/27/17 09:40:29 10.42   0.25   0.12   1.615  8.50    14.6  40.8  11.75
11/27/17 09:40:30 10.43   0.25   0.12   1.637  8.50    14.6  40.8  11.74
11/27/17 09:40:31 10.44   0.25   0.12   1.658  8.50    14.5  40.9  11.74
11/27/17 09:40:32 10.45   0.25   0.12   1.676  8.50    14.4  41.1  11.75
11/27/17 09:40:33 10.45   0.25   0.12   1.696  8.50    14.4  41.3  11.72
11/27/17 09:40:34 10.44   0.25   0.12   1.716  8.49    14.3  41.6  11.75
11/27/17 09:40:35 10.44   0.25   0.12   1.736  8.49    14.3  41.8  11.75
11/27/17 09:40:36 10.44   0.25   0.12   1.757  8.49    14.3  42.1  11.72
11/27/17 09:40:37 10.44   0.25   0.12   1.777  8.49    14.2  42.4  11.73
11/27/17 09:40:38 10.44   0.25   0.12   1.796  8.49    14.2  42.6  11.74
11/27/17 09:40:39 10.44   0.25   0.12   1.816  8.49    14.3  42.9  11.73
11/27/17 09:40:40 10.44   0.25   0.12   1.835  8.49    14.3  43.1  11.75
11/27/17 09:40:41 10.44   0.25   0.12   1.856  8.50    14.3  43.3  11.74
11/27/17 09:40:42 10.44   0.25   0.12   1.879  8.50    14.4  43.5  11.74
