
Profile Time: 00:00:01
Profile Date: 12/25/2017
Profile Location: jlnewhope Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/25/17 00:00:12   NaN    NaN    NaN   0.053  7.67    23.2  99.5    NaN
12/25/17 00:00:02   NaN    NaN    NaN   0.054  7.67    22.0  98.1    NaN
12/25/17 00:00:05   NaN    NaN    NaN   0.055  7.67    22.5  99.4    NaN
12/25/17 00:00:07   NaN    NaN    NaN   0.055  7.67    22.8 100.0    NaN
12/25/17 00:00:04   NaN    NaN    NaN   0.056  7.67    22.3  99.0    NaN
12/25/17 00:00:14   NaN    NaN    NaN   0.056  7.67    23.3  98.3    NaN
12/25/17 00:00:11   NaN    NaN    NaN   0.057  7.67    23.2  99.9    NaN
12/25/17 00:00:15   NaN    NaN    NaN   0.057  7.67    23.4  97.5    NaN
12/25/17 00:00:06   NaN    NaN    NaN   0.059  7.66    22.7  99.7    NaN
12/25/17 00:00:10   NaN    NaN    NaN   0.059  7.67    23.1 100.1    NaN
12/25/17 00:00:08   NaN    NaN    NaN   0.060  7.67    22.9 100.2    NaN
12/25/17 00:00:09   NaN    NaN    NaN   0.060  7.65    23.0 100.2    NaN
12/25/17 00:00:03   NaN    NaN    NaN   0.061  7.67    22.2  98.5    NaN
12/25/17 00:00:13   NaN    NaN    NaN   0.061  7.65    23.3  98.9    NaN
12/25/17 00:00:16   NaN    NaN    NaN   0.061  7.66    23.4  96.7    NaN
12/25/17 00:00:17   NaN    NaN    NaN   0.067  7.67    23.4  95.9    NaN
12/25/17 00:00:18   NaN    NaN    NaN   0.087  7.67    23.4  95.1    NaN
12/25/17 00:00:19   NaN    NaN    NaN   0.105  7.67    23.4  94.3    NaN
12/25/17 00:00:20   NaN    NaN    NaN   0.119  7.67    23.4  93.7    NaN
12/25/17 00:00:21   NaN    NaN    NaN   0.143  7.67    23.4  93.2    NaN
12/25/17 00:00:22   NaN    NaN    NaN   0.155  7.67    23.4  92.8    NaN
12/25/17 00:00:23   NaN    NaN    NaN   0.175  7.67    23.3  92.5    NaN
12/25/17 00:00:24   NaN    NaN    NaN   0.193  7.67    23.2  92.4    NaN
12/25/17 00:00:25   NaN    NaN    NaN   0.209  7.65    23.1  92.4    NaN
12/25/17 00:00:26   NaN    NaN    NaN   0.223  7.67    23.1  92.5    NaN
12/25/17 00:00:27   NaN    NaN    NaN   0.240  7.67    23.0  92.6    NaN
12/25/17 00:00:28   NaN    NaN    NaN   0.261  7.67    22.9  92.8    NaN
12/25/17 00:00:29   NaN    NaN    NaN   0.275  7.67    22.8  93.0    NaN
12/25/17 00:00:30   NaN    NaN    NaN   0.293  7.67    22.7  93.2    NaN
12/25/17 00:00:31   NaN    NaN    NaN   0.311  7.67    22.7  93.3    NaN
12/25/17 00:00:32   NaN    NaN    NaN   0.327  7.67    22.6  93.4    NaN
12/25/17 00:00:33   NaN    NaN    NaN   0.345  7.67    22.6  93.5    NaN
12/25/17 00:00:34   NaN    NaN    NaN   0.366  7.67    22.7  93.5    NaN
12/25/17 00:00:35   NaN    NaN    NaN   0.385  7.67    22.7  93.5    NaN
12/25/17 00:00:36   NaN    NaN    NaN   0.404  7.67    22.8  93.4    NaN
12/25/17 00:00:37   NaN    NaN    NaN   0.424  7.66    22.9  93.2    NaN
12/25/17 00:00:38   NaN    NaN    NaN   0.445  7.67    23.0  93.0    NaN
12/25/17 00:00:39   NaN    NaN    NaN   0.464  7.67    23.2  92.8    NaN
12/25/17 00:00:40   NaN    NaN    NaN   0.484  7.67    23.3  92.5    NaN
12/25/17 00:00:41   NaN    NaN    NaN   0.505  7.67    23.4  92.1    NaN
12/25/17 00:00:42   NaN    NaN    NaN   0.525  7.67    23.5  91.8    NaN
12/25/17 00:00:43   NaN    NaN    NaN   0.549  7.65    23.5  91.4    NaN
12/25/17 00:00:44   NaN    NaN    NaN   0.565  7.67    23.5  91.1    NaN
12/25/17 00:00:45   NaN    NaN    NaN   0.586  7.67    23.5  90.7    NaN
12/25/17 00:00:46   NaN    NaN    NaN   0.609  7.65    23.5  90.4    NaN
12/25/17 00:00:47   NaN    NaN    NaN   0.627  7.67    23.3  90.2    NaN
12/25/17 00:00:48   NaN    NaN    NaN   0.646  7.67    23.2  89.9    NaN
12/25/17 00:00:49   NaN    NaN    NaN   0.668  7.67    23.0  89.8    NaN
12/25/17 00:00:50   NaN    NaN    NaN   0.687  7.66    22.9  89.7    NaN
12/25/17 00:00:51   NaN    NaN    NaN   0.705  7.66    22.7  89.8    NaN
12/25/17 00:00:52   NaN    NaN    NaN   0.728  7.67    22.5  89.8    NaN
