
Profile Time: 00:30:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:02:01   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.56
02/19/18 00:02:05   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:02:06   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.60
02/19/18 00:02:07   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.61
02/19/18 00:02:11   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.60
02/19/18 00:02:15   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:02:16   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.60
02/19/18 00:02:17   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.63
02/19/18 00:02:22   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.57
02/19/18 00:01:58   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.57
02/19/18 00:01:59   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.57
02/19/18 00:02:00   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.53
02/19/18 00:02:02   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.55
02/19/18 00:02:03   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.59
02/19/18 00:02:04   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.59
02/19/18 00:02:08   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.60
02/19/18 00:02:09   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.61
02/19/18 00:02:10   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.62
02/19/18 00:02:12   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.58
02/19/18 00:02:13   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.56
02/19/18 00:02:14   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.59
02/19/18 00:02:18   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.60
02/19/18 00:02:19   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.58
02/19/18 00:02:20   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.55
02/19/18 00:02:21   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.57

Profile Time: 01:00:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:04:45   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.48
02/19/18 00:04:41   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:04:42   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:04:43   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:04:44   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:04:46   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:04:47   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:04:48   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:04:49   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:04:50   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:04:51   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:04:52   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:04:53   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:04:54   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:04:55   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:04:56   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:04:57   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:04:58   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:04:59   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:05:00   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:05:01   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:05:02   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:05:03   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:05:04   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51

Profile Time: 01:30:00
