
Profile Time: 00:00:00
Profile Date: 04/15/2018
Profile Location: jlwhiteoak Serial no: : 17E101478, ID: : EXO Sonde
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
04/15/18 00:00:15 15.70   0.21   0.10   0.032  7.63     6.2  23.1   9.95
04/15/18 00:00:16 15.69   0.21   0.10   0.036  7.62     6.2  23.1   9.96
04/15/18 00:00:04 15.69   0.21   0.10   0.037  7.63     6.0  24.2   9.96
04/15/18 00:00:13 15.69   0.21   0.10   0.038  7.63     6.3  23.2   9.95
04/15/18 00:00:14 15.69   0.21   0.10   0.038  7.63     6.2  23.1   9.95
04/15/18 00:00:11 15.70   0.21   0.10   0.039  7.63     6.3  23.3   9.96
04/15/18 00:00:12 15.70   0.21   0.10   0.041  7.63     6.3  23.3   9.96
04/15/18 00:00:03 15.69   0.21   0.10   0.043  7.63     6.0  24.4   9.96
04/15/18 00:00:05 15.69   0.21   0.10   0.046  7.63     6.1  24.1   9.95
04/15/18 00:00:02 15.69   0.21   0.10   0.047  7.63     5.9  24.5   9.96
04/15/18 00:00:10 15.70   0.21   0.10   0.047  7.63     6.3  23.4   9.95
04/15/18 00:00:07 15.69   0.21   0.10   0.049  7.63     6.2  23.8   9.96
04/15/18 00:00:06 15.69   0.21   0.10   0.050  7.63     6.2  23.9   9.95
04/15/18 00:00:08 15.69   0.21   0.10   0.050  7.63     6.3  23.7   9.96
04/15/18 00:00:09 15.69   0.21   0.10   0.051  7.63     6.3  23.5   9.96
04/15/18 00:00:17 15.69   0.21   0.10   0.063  7.63     6.2  23.1   9.96
04/15/18 00:00:18 15.69   0.21   0.10   0.090  7.63     6.2  23.1   9.96
04/15/18 00:00:19 15.69   0.21   0.10   0.108  7.63     6.1  23.1   9.95
04/15/18 00:00:20 15.69   0.21   0.10   0.128  7.63     6.1  23.1   9.95
04/15/18 00:00:21 15.69   0.21   0.10   0.143  7.63     6.1  23.1   9.96
04/15/18 00:00:22 15.69   0.21   0.10   0.156  7.63     6.1  23.1   9.96
04/15/18 00:00:23 15.69   0.21   0.10   0.178  7.63     6.1  23.1   9.96
04/15/18 00:00:24 15.70   0.21   0.10   0.205  7.63     6.1  23.2   9.95
04/15/18 00:00:25 15.69   0.21   0.10   0.226  7.63     6.1  23.3   9.95
04/15/18 00:00:26 15.69   0.21   0.10   0.245  7.63     6.1  23.4   9.95
04/15/18 00:00:27 15.69   0.21   0.10   0.252  7.63     6.1  23.5   9.95
04/15/18 00:00:28 15.69   0.21   0.10   0.259  7.63     6.1  23.7   9.96
04/15/18 00:00:29 15.69   0.21   0.10   0.282  7.62     6.2  23.8   9.96
04/15/18 00:00:30 15.69   0.21   0.10   0.302  7.62     6.2  24.0   9.96
04/15/18 00:00:31 15.69   0.21   0.10   0.320  7.62     6.2  24.2   9.95
04/15/18 00:00:32 15.69   0.21   0.10   0.335  7.62     6.2  24.4   9.96
04/15/18 00:00:33 15.69   0.21   0.10   0.355  7.62     6.2  24.6   9.96
04/15/18 00:00:34 15.69   0.21   0.10   0.374  7.62     6.2  24.7   9.95
04/15/18 00:00:35 15.69   0.21   0.10   0.391  7.62     6.2  24.8   9.95
04/15/18 00:00:36 15.69   0.21   0.10   0.405  7.62     6.3  24.9   9.96
04/15/18 00:00:37 15.69   0.21   0.10   0.420  7.62     6.3  24.9   9.95
