"site_no","Date","Flow_Max","Flow_Min","Flow","year","month","day"
"02096960",2019-01-01,3900,3080,3540,"2019","01","01"
"02096960",2019-01-02,3080,2350,2650,"2019","01","02"
"02096960",2019-01-03,4150,2070,2680,"2019","01","03"
"02096960",2019-01-04,5120,3950,4310,"2019","01","04"
"02096960",2019-01-05,7380,5120,6410,"2019","01","05"
"02096960",2019-01-06,5380,3210,4020,"2019","01","06"
"02096960",2019-01-07,3210,2290,2720,"2019","01","07"
"02096960",2019-01-08,2290,1820,2010,"2019","01","08"
"02096960",2019-01-09,1820,1540,1670,"2019","01","09"
"02096960",2019-01-10,1540,1430,1480,"2019","01","10"
"02096960",2019-01-11,1430,1270,1330,"2019","01","11"
"02096960",2019-01-12,1270,1100,1170,"2019","01","12"
"02096960",2019-01-13,11300,1100,5250,"2019","01","13"
"02096960",2019-01-14,10800,4480,7360,"2019","01","14"
"02096960",2019-01-15,4480,2750,3430,"2019","01","15"
"02096960",2019-01-16,2750,2090,2380,"2019","01","16"
"02096960",2019-01-17,2090,1750,1920,"2019","01","17"
"02096960",2019-01-18,1750,1480,1600,"2019","01","18"
"02096960",2019-01-19,1480,1350,1400,"2019","01","19"
"02096960",2019-01-20,7270,1380,4320,"2019","01","20"
"02096960",2019-01-21,6980,2780,4340,"2019","01","21"
"02096960",2019-01-22,2780,2230,2510,"2019","01","22"
"02096960",2019-01-23,2230,1730,1930,"2019","01","23"
"02096960",2019-01-24,15300,1700,6240,"2019","01","24"
"02096960",2019-01-25,15300,5210,10500,"2019","01","25"
"02096960",2019-01-26,5210,3180,3970,"2019","01","26"
"02096960",2019-01-27,3180,2290,2670,"2019","01","27"
"02096960",2019-01-28,2290,1920,2160,"2019","01","28"
"02096960",2019-01-29,1920,1600,1700,"2019","01","29"
"02096960",2019-01-30,1730,1600,1630,"2019","01","30"
"02096960",2019-01-31,1730,1430,1580,"2019","01","31"
"02096960",2019-02-01,1430,1210,1300,"2019","02","01"
"02096960",2019-02-02,1210,1090,1150,"2019","02","02"
"02096960",2019-02-03,1130,1050,1070,"2019","02","03"
"02096960",2019-02-04,1050,996,1030,"2019","02","04"
"02096960",2019-02-05,1290,696,1010,"2019","02","05"
"02096960",2019-02-06,1100,952,1000,"2019","02","06"
"02096960",2019-02-07,960,900,931,"2019","02","07"
"02096960",2019-02-08,1030,875,950,"2019","02","08"
"02096960",2019-02-09,1040,858,944,"2019","02","09"
"02096960",2019-02-10,858,747,796,"2019","02","10"
"02096960",2019-02-11,778,739,758,"2019","02","11"
"02096960",2019-02-12,1080,778,886,"2019","02","12"
"02096960",2019-02-13,3380,1080,2420,"2019","02","13"
"02096960",2019-02-14,2990,1620,2120,"2019","02","14"
"02096960",2019-02-15,1620,1270,1410,"2019","02","15"
"02096960",2019-02-16,2080,1230,1400,"2019","02","16"
"02096960",2019-02-17,2400,2080,2240,"2019","02","17"
"02096960",2019-02-18,15700,2060,10500,"2019","02","18"
"02096960",2019-02-19,12700,4760,7550,"2019","02","19"
"02096960",2019-02-20,5900,4470,4810,"2019","02","20"
"02096960",2019-02-21,11200,5900,8230,"2019","02","21"
"02096960",2019-02-22,15700,9520,11700,"2019","02","22"
"02096960",2019-02-23,31300,14100,19100,"2019","02","23"
"02096960",2019-02-24,35000,21200,30200,"2019","02","24"
"02096960",2019-02-25,21200,7550,12600,"2019","02","25"
"02096960",2019-02-26,7550,4170,5710,"2019","02","26"
"02096960",2019-02-27,4170,3020,3470,"2019","02","27"
"02096960",2019-02-28,3020,2310,2630,"2019","02","28"
"02096960",2019-03-01,4450,2020,2300,"2019","03","01"
"02096960",2019-03-02,10000,4450,8420,"2019","03","02"
"02096960",2019-03-03,6470,3750,4700,"2019","03","03"
"02096960",2019-03-04,11200,6150,9800,"2019","03","04"
"02096960",2019-03-05,7730,3580,4960,"2019","03","05"
"02096960",2019-03-06,3580,2510,3000,"2019","03","06"
"02096960",2019-03-07,2510,1920,2180,"2019","03","07"
"02096960",2019-03-08,1920,1660,1760,"2019","03","08"
"02096960",2019-03-09,1710,1640,1650,"2019","03","09"
"02096960",2019-03-10,1940,1640,1810,"2019","03","10"
"02096960",2019-03-11,1880,1670,1820,"2019","03","11"
"02096960",2019-03-12,1670,1430,1540,"2019","03","12"
"02096960",2019-03-13,1430,1280,1330,"2019","03","13"
"02096960",2019-03-14,1280,1240,1260,"2019","03","14"
"02096960",2019-03-15,1520,1200,1260,"2019","03","15"
"02096960",2019-03-16,1790,1520,1650,"2019","03","16"
"02096960",2019-03-17,1760,1110,1460,"2019","03","17"
"02096960",2019-03-18,1380,1230,1300,"2019","03","18"
"02096960",2019-03-19,1260,1100,1170,"2019","03","19"
