"agency_cd","site_no","Date","GH_Max","GH_Min","GH","year","month","day"
"USGS","02098206",2019-01-01,10.83,10.61,10.7,"2019","01","01"
"USGS","02098206",2019-01-02,11.38,10.56,10.98,"2019","01","02"
"USGS","02098206",2019-01-03,11.37,11.26,11.3,"2019","01","03"
"USGS","02098206",2019-01-04,11.38,8.2,9.85,"2019","01","04"
"USGS","02098206",2019-01-05,9.43,8.79,9.3,"2019","01","05"
"USGS","02098206",2019-01-06,9.32,8.25,8.83,"2019","01","06"
"USGS","02098206",2019-01-07,10.96,7.95,9.58,"2019","01","07"
"USGS","02098206",2019-01-08,10.89,10.7,10.79,"2019","01","08"
"USGS","02098206",2019-01-09,10.72,10.56,10.65,"2019","01","09"
"USGS","02098206",2019-01-10,10.6,10.43,10.51,"2019","01","10"
"USGS","02098206",2019-01-11,10.46,10.31,10.38,"2019","01","11"
"USGS","02098206",2019-01-12,10.34,10.2,10.26,"2019","01","12"
"USGS","02098206",2019-01-13,11.16,10.2,10.52,"2019","01","13"
"USGS","02098206",2019-01-14,11.41,10.3,10.88,"2019","01","14"
"USGS","02098206",2019-01-15,10.31,9.58,9.9,"2019","01","15"
"USGS","02098206",2019-01-16,9.58,8.36,9.06,"2019","01","16"
"USGS","02098206",2019-01-17,8.38,7.24,7.69,"2019","01","17"
"USGS","02098206",2019-01-18,7.28,3.73,5.22,"2019","01","18"
"USGS","02098206",2019-01-19,3.76,3.23,3.6,"2019","01","19"
"USGS","02098206",2019-01-20,4.3,3.35,3.83,"2019","01","20"
"USGS","02098206",2019-01-21,4.7,4.3,4.56,"2019","01","21"
"USGS","02098206",2019-01-22,6.67,3.71,4.82,"2019","01","22"
"USGS","02098206",2019-01-23,6.68,6.45,6.59,"2019","01","23"
"USGS","02098206",2019-01-24,6.6,4.12,5.45,"2019","01","24"
"USGS","02098206",2019-01-25,8.38,5.01,6.52,"2019","01","25"
"USGS","02098206",2019-01-26,8.32,7.15,7.73,"2019","01","26"
"USGS","02098206",2019-01-27,7.19,6.69,6.93,"2019","01","27"
"USGS","02098206",2019-01-28,6.79,6.61,6.7,"2019","01","28"
"USGS","02098206",2019-01-29,6.63,6.42,6.55,"2019","01","29"
"USGS","02098206",2019-01-30,6.52,6.31,6.48,"2019","01","30"
"USGS","02098206",2019-01-31,6.5,3.51,5.07,"2019","01","31"
"USGS","02098206",2019-02-01,3.52,3.19,3.42,"2019","02","01"
"USGS","02098206",2019-02-02,3.35,3.31,3.33,"2019","02","02"
"USGS","02098206",2019-02-03,3.47,3.24,3.29,"2019","02","03"
"USGS","02098206",2019-02-04,3.28,2.74,3.02,"2019","02","04"
"USGS","02098206",2019-02-05,2.94,2.72,2.79,"2019","02","05"
"USGS","02098206",2019-02-06,2.77,2.74,2.75,"2019","02","06"
"USGS","02098206",2019-02-07,2.77,2.6,2.71,"2019","02","07"
"USGS","02098206",2019-02-08,2.6,2.49,2.55,"2019","02","08"
"USGS","02098206",2019-02-09,2.55,2.49,2.53,"2019","02","09"
"USGS","02098206",2019-02-10,2.53,2.5,2.52,"2019","02","10"
"USGS","02098206",2019-02-11,2.69,2.51,2.59,"2019","02","11"
"USGS","02098206",2019-02-12,2.78,2.69,2.75,"2019","02","12"
"USGS","02098206",2019-02-13,3.2,2.77,2.99,"2019","02","13"
"USGS","02098206",2019-02-14,4.62,3.19,3.8,"2019","02","14"
